id,asset,year,scenario,period_block_start,period_block_end,solution,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
1,AT_Hydro_Reservoir,2050,1,1,1,,-50.0,0.0,0.0
2,AT_Pump_Hydro_Closed,2050,1,1,1,,-29.332767709138505,0.0,0.0
3,AT_Pump_Hydro_Open,2050,1,1,1,,-29.3327677091385,0.0,0.0
4,BG_Hydro_Reservoir,2050,1,1,1,,-50.0,0.0,0.0
5,BG_Pump_Hydro_Closed,2050,1,1,1,,-37.22637164467359,0.0,0.0
6,BG_Pump_Hydro_Open,2050,1,1,1,,-37.226371644673584,0.0,0.0
7,CH_Pump_Hydro_Closed,2050,1,1,1,,-31.41368794307892,0.0,0.0
8,CH_Pump_Hydro_Open,2050,1,1,1,,-31.41368794307892,0.0,0.0
9,CZ_Hydro_Reservoir,2050,1,1,1,,-49.999999999999986,0.0,0.0
10,CZ_Pump_Hydro_Closed,2050,1,1,1,,-44.500613044089214,0.0,0.0
11,CZ_Pump_Hydro_Open,2050,1,1,1,,-44.50061304408922,0.0,0.0
12,DE_Hydro_Reservoir,2050,1,1,1,,-61.652125268292686,0.0,0.0
13,DE_Pump_Hydro_Closed,2050,1,1,1,,-37.09114213984831,0.0,0.0
14,DE_Pump_Hydro_Open,2050,1,1,1,,-37.091142139848316,0.0,0.0
15,ES_Hydro_Reservoir,2050,1,1,1,,-50.000000000000014,0.0,0.0
16,ES_Pump_Hydro_Closed,2050,1,1,1,,-35.939588983922626,0.0,0.0
17,ES_Pump_Hydro_Open,2050,1,1,1,,-35.939588983922626,0.0,0.0
18,FI_Hydro_Reservoir,2050,1,1,1,,-1.5961147296357083,0.0,0.0
19,FR_Hydro_Reservoir,2050,1,1,1,,-45.93067598585279,0.0,0.0
20,FR_Pump_Hydro_Closed,2050,1,1,1,,-20.076350792559026,0.0,0.0
21,FR_Pump_Hydro_Open,2050,1,1,1,,-20.076350792559026,0.0,0.0
22,GR_Hydro_Reservoir,2050,1,1,1,,-38.68406348644133,0.0,0.0
23,GR_Pump_Hydro_Closed,2050,1,1,1,,-38.684063486441374,0.0,0.0
24,GR_Pump_Hydro_Open,2050,1,1,1,,-38.684063486441396,0.0,0.0
25,HR_Hydro_Reservoir,2050,1,1,1,,-47.70111588027036,0.0,0.0
26,HR_Pump_Hydro_Open,2050,1,1,1,,-33.831179950465234,0.0,0.0
27,IE_Pump_Hydro_Closed,2050,1,1,1,,-0.0,-0.0,0.0
28,IT_Hydro_Reservoir,2050,1,1,1,,-42.62347949908796,0.0,0.0
29,IT_Pump_Hydro_Closed,2050,1,1,1,,-40.959596632702585,0.0,0.0
30,IT_Pump_Hydro_Open,2050,1,1,1,,-40.959596632702585,0.0,0.0
31,LT_Pump_Hydro_Closed,2050,1,1,1,,-22.486575257808177,0.0,0.0
32,LU_Pump_Hydro_Closed,2050,1,1,1,,-30.82097824779846,0.0,0.0
33,NO_Hydro_Reservoir,2050,1,1,1,,-18.04848475247047,0.0,0.0
34,NO_Pump_Hydro_Open,2050,1,1,1,,-18.04848475247047,0.0,0.0
35,PL_Hydro_Reservoir,2050,1,1,1,,-42.20731338121178,0.0,0.0
36,PL_Pump_Hydro_Closed,2050,1,1,1,,-32.88488978515214,0.0,0.0
37,PL_Pump_Hydro_Open,2050,1,1,1,,-16.593614978318072,0.0,0.0
38,PT_Hydro_Reservoir,2050,1,1,1,,-50.0,0.0,0.0
39,PT_Pump_Hydro_Open,2050,1,1,1,,-34.31278506438567,0.0,0.0
40,RO_Hydro_Reservoir,2050,1,1,1,,-50.0,0.0,0.0
41,RO_Pump_Hydro_Open,2050,1,1,1,,-31.521063306751152,0.0,0.0
42,SE_Hydro_Reservoir,2050,1,1,1,,-19.444444444444446,0.0,0.0
43,SI_Pump_Hydro_Closed,2050,1,1,1,,-39.68696813578417,0.0,0.0
44,SK_Hydro_Reservoir,2050,1,1,1,,-47.261073037733766,0.0,0.0
45,SK_Pump_Hydro_Closed,2050,1,1,1,,-43.310193658950084,0.0,0.0
46,SK_Pump_Hydro_Open,2050,1,1,1,,-43.310193658950084,0.0,0.0
47,UK_Pump_Hydro_Closed,2050,1,1,1,,-0.0,-0.0,0.0
