method,num_clusters,runtime,true_operational_cost,energy_not_served,investment_cost
base_case,8760,1768.29,1.813328457e+07,15.348673530766337,6.156284687205078e6
No EP,1500,758.60,4.338912569e+07,377.736459856686,5.740541826751756e6
Afterwards,1500,307.66,1.884352244e+07,0,7.141795774411092e6
During,1500,405.57,1.900445857e+07,0,6.79189544490005e6
Seperate,1500,630.39,3.094589283e+07,184.29796958592885,6.07101579271996e6
SeperateSum,1500,547.35,3.080872439e+07,182.30390418658368,6.053065384040075e6
No EP,1000,921.85,5.220812986e+07,499.4640645345442,6.0700839975285e6
Afterwards,1000,236.99,2.592725290e+07,0,7.386130058617508e6
During,1000,266.21,2.439842590e+07,0,7.336678083843473e6
Seperate,1000,499.59,1.904364760e+07,8.801954792285208,5.953384147378619e6
SeperateSum,1000,471.05,1.904961009e+07,8.822972993289362,6.054831597685294e6
No EP,500,618.19,1.310739494e+08,1544.8624016613833,5.937289962105829e6
Afterwards,500,294.41,3.759640630e+07,0,1.041777250070237e7
During,500,285.08,3.775866176e+07,0,9.404970364736393e6
Seperate,500,324.99,2.319346406e+07,3.548545757326326,8.988879302314276e6
SeperateSum,500,291.08,2.314143882e+07,3.742757747788496,8.529056072777808e6
No EP,200,975.61,1.047848607e+09,14758.61466092648,4.628846812732323e6
Afterwards,200,281.09,3.814350453e+07,0,1.1011708433075158e7
During,200,318.41,3.671033312e+07,0,1.0714174188871056e7
Seperate,200,323.18,3.757464804e+07,0,1.003762032160972e7
SeperateSum,200,380.13,3.874876576e+07,22.500998410407334,8.179655788514076e6
No EP,100,1320.51,3.277885088e+09,47118.48530761618,4.281039545610165e6
Afterwards,100,427.63,3.695437395e+07,0,1.1876362788003825e7
During,100,429.17,3.876193099e+07,0,1.0673077215837104e7
Seperate,100,396.42,3.607177458e+07,0,1.029978938613656e7
SeperateSum,100,517.31,3.745091477e+07,28.370116989846835,8.90176332594844e6
No EP,50,1888.20,3.892607657e+09,55977.424906112064,3.862532363214072e6
Afterwards,50,503.68,3.454360443e+07,0,1.5468014278913906e7
During,50,503.30,3.104547791e+07,0,1.562552340549685e7
Seperate,50,432.41,3.819646021e+07,0,1.253646585337629e7
SeperateSum,50,454.39,4.201156398e+07,0.0,1.0948233680782937e7
No EP,750,586.54,8.692844009e+07,965.0862390276966,5.6736364423606545e6
Afterwards,750,255.55,3.754756345e+07,0,8.254487631522792e6
During,750,270.09,3.514251465e+07,0,9.144065465791155e6
Seperate,750,510.33,1.806154557e+07,3.604999422447592,7.525859546625937e6
SeperateSum,750,479.14,1.785641750e+07,4.020830243710732,7.603157214671658e6
No EP,1250,747.36,4.984467541e+07,469.8041965486887,5.756494615301621e6
Afterwards,1250,271.35,2.092258869e+07,0,7.181027199318647e6
During,1250,329.45,2.019135584e+07,0,6.76262635969251e6
Seperate,1250,617.54,3.088547420e+07,177.6515072312937,6.050972584521731e6
SeperateSum,1250,617.54,3.088547420e+07,179.77680903745045,6.050972584521731e6
No EP,2000,965.09,3.915658382e+07,317.10526227802916,5.6443377237961935e6
Afterwards,2000,528.05,1.764723849e+07,0,6.674241658271472e6
During,2000,447.86,1.805337825e+07,0,7.13542770654396e6
Seperate,2000,647.86,2.384139048e+07,96.54136322596305,6.037193745199217e6
SeperateSum,2000,514.01,2.384139048e+07,96.54136322596305,6.0240306940172715e6
